Laptop_name,price
"Lenovo Legion Go 8.8-Inch WQXGA (2560x1600) IPS Display, AMD Ryzen Z1 Extreme Processor/16GB RAM/1TB SSD/AMD Radeon Graphics/Windows 11 Home English Shadow Black ","3,299"
"Acer Aspire 3 A315 Laptop With 15.6-Inch Display, Core i5-1135G7 Processor/8GB RAM/512GB SSD/DOS(Without Windows)/Intel Iris Xe Graphics English/Arabic Pure Silver ","1,488"
"ASUS TUF F15 FX507VV-I7161G Gaming Laptop With 15.6-Inch Display, Core i7-13620H Processor/16GB RAM/1TB SSD/8GB Nvidia Geforce RTX 4060 Graphics Card/Windows 11 Home English/Arabic Jaeger Gray ","4,449"
"MSI GF63 Thin Gaming Laptop With 15.6-inch FHD (1920x1080) Display, Core i7-12650H Processor/16GB RAM/512GB SSD/Windows 11 Home/Nvidia GeForce RTX 3050 4GB/ English Black ","3,349"
"HUAWEI MateBook D 16 Laptop with 16-inch Eye Comfort FullView Display, Core i5-13420H Processor/16GB RAM/1TB SSD/Windows 11 Home/Intel Iris XE Graphics With Light and Metal Body And Nimble Numeric Keypad English/Arabic Mystic Silver ","2,609"
"Acer Aspire 7 A715-76G-59M2 Laptop With 15.6-inch Full HD Display, Core i5-12450H Processor/8GB RAM/512GB SSD/DOS(Without Windows)/4GB Nvidia GeForce GTX 1650 Graphics/ English/Arabic Charcoal Black ","1,499"
"Acer Aspire Lite AL14 Notebook With 14-Inch Display, Core i3-N300 Processor/8GB RAM/512GB SSD/Intel UHD Graphics/Windows 11 Home English/Arabic Silver ","1,349"
"DELL Vostro 3520 Laptop With 15.6 inch Full HD Display, Intel Core i3-1215U Processor/8GB RAM/512GB SSD/Ubuntu/Intel UHD Graphics/ English BLACK ","1,349"
"Microsoft Surface Go 2 Convertible 2 in 1  With 10.5-Inch Full HD Display, Intel Pentium Gold 4425Y Processor /4GB RAM/64GB Emmc/Windows 10 Pro/Intel UHD Graphics/ English/Arabic Platinum ","1,139"
"HP 15-fd0011nx Laptop With 15.6-inch Display, Core i3-1315U Processor/8GB RAM/256GB SSD/Windows 11/Intel UHD Graphics English/Arabic Moonlight Blue ","1,499"
"HUAWEI MateBook D 14 2024 Laptop With 14-Inch Display, Core i5-12450H Processor 12 Gen/8GB RAM/512GB SSD/Intel UHD Graphics /Windows 11/ English/Arabic Mystic Silver English/Arabic Mystic Silver ","1,899"
"ASUS Vivobook X1605XA - MB101 Laptop With 16-Inch FHD Display, AMD Ryzen 9 7940HS Processor/16GB RAM/512GB SSD/AMD Radeon Graphics/DOS(Without Windows) English/Arabic Silver ","2,401"
"ASUS TUF Gaming F15 Laptop With 15.6-Inch FHD Display, Core i7-11800H Processor/16GB RAM/1TB SSD/4GB Nvidia Geforce RTX 3050 Graphics Card/DOS(Without Windows) English/Arabic Black ","3,299"
"ASUS VivoBook GO 15 Laptop With 15.6-Inch Full HD Display, Core-i3-N305 Processor/8GB RAM/256GB SSD/Windows 11/Intel UHD Graphics Arabic Silver ","1,349"
"HP Pavilion Plus Laptop With 14-inch Display, Core i5 Processor/16GB RAM/512GB SSD/Windows 11/Intel Iris Xe Graphics English/Arabic Natural Silver ","2,609"
"ASUS X515EA-BR4332 Laptop With 15.6-inch HD Display, Intel Pentium Gold 7505 Processor/4GB RAM/512GB SSD/DOS(Without Windows)/Intel HD Graphics/ English/Arabic Silver ",999
"DELL Vostro 3520 Laptop With 15.6-inch FHD (1920x1080) Display, Core i5-1235U Processor/8GB RAM/512GB SSD/DOS(Without Windows)/Intel UHD Graphics/ English/Arabic black ","1,839"
"HP Notebook 15s Laptop With 15.6-Inch Display, Core i7 Processor/16GB RAM/ 512GB SSD/Windows 11/4GB Intel Iris Xe Graphic Card English/Arabic Natural Silver ","2,199"
