,price,Category,Inch,Core,Processor,Ram,Memory,Opysys
83,"4,499",HP,,,-7840H,16GB,1TB SSD,Windows 11
84,"1,799",Acer,15.6-Inch,Intel Core i5,-1235U,8GB,512GB SSD,Windows 11
85,"2,899",HP,,Intel Core i3,-1315U,8GB,256GB SSD,Windows 11
86,"3,699",Acer,14-Inch,Core i7,-1355U,16GB,1TB SSD,
87,"1,599",HP,,Intel Core i3,-1315U,8GB,256GB SSD,Windows 11
89,"2,099",HP,,Intel Core i5,-1334U,8GB,512GB SSD,Windows 11
90,"1,979",HP,15.6-Inch,Core i5,,8GB,512GB SSD,
92,"4,399",Microsoft,13 Inch,,-1235U,8GB,,Windows 11
93,"1,799",MSI,15.6-Inch,Core i5,-1235U,8GB,512GB SSD,Windows 11
94,"3,640",Acer,15.6-Inch,Core i7,-12650H,16GB,512GB SSD,
95,949,Lenovo,,,,4GB,,
96,"3,499",HP,,,-7730U,16GB,512GB SSD,Windows 11
97,"2,299",DELL,15.6-Inch,Core i5,-1235U,8GB,512GB SSD,Windows 11
98,"1,440",DELL,,Intel Core i3,-1215U,8GB,,
99,"4,650",DELL,15.6-Inch,Core i7,-12700H,16GB,,
100,"2,647",HP,,Intel Core i7,-1355U,16GB,512GB SSD,
101,"2,399",HUAWEI,,Core i5,-12450H,16GB,512GB SSD,Windows 11
102,"1,899",ASUS,16-Inch,Core i5,-1335U,8GB,512GB SSD,Windows 11
103,"1,619",ASUS,15.6-Inch,Core i5,-1235U,8GB,512GB SSD,
104,"1,399",Acer,15.6-Inch,Core i5,-1135G,8GB,256GB SSD,
105,"4,999",Apple,,,,8GB,256GB SSD,
106,"4,699",HP,,Core i7,-1355U,16GB,1TB SSD,Windows 11
107,"4,049",ASUS,,,-6800H,16GB,512GB SSD,Windows 11
108,"3,309",ASUS,,Core i7,-12700H,16GB,1TB SSD,Windows 11
109,"1,979",Acer,15.6-Inch,Core i7,-1255U,8GB,512GB SSD,
110,"3,099",MSI,,Core i7,,16GB,512GB SSD,Windows 11
111,"5,029",Apple,15-Inch,,,256GB,256GB SSD,
112,"3,949",Microsoft,13 Inch,,-1235U,8GB,,Windows 11
113,"1,139",Acer,15.6-Inch,Core i3,-1115G,4GB,256GB SSD,
114,"3,065",ASUS,14-Inch,Core i7,-12700H,16GB,512GB SSD,Windows 11
116,"3,199",ASUS,23.8-Inch,Core i7,-1255U,16GB,512GB SSD,Windows 11
117,"2,290",Lenovo,15.6-Inch,Core i7,,8GB,128GB SSD,
118,"1,889",DELL,,Core i5,-1235U,8GB,512GB SSD,
119,"1,638",Lenovo,,Core i5,-1235U,8GB,256GB SSD,
120,"2,490",Microsoft,12-Inch,Intel Core i5,,8GB,128GB SSD,Windows 11
121,"4,799",HP,,Core i7,-1355U,16GB,1TB SSD,Windows 11
122,"2,624",HP,15.6-Inch,Core i7,,16GB,512GB SSD,
123,"5,199",Apple,13-Inch,,,256GB,,
124,"1,208",HP,,Core i3,-1315U,4GB,256GB SSD,
125,"2,411",ASUS,15.6-Inch,Core i7,-1255U,16GB,512GB SSD,
126,"6,799",Apple,,,,16GB,512GB SSD,
127,"2,975",ASUS,16-Inch,Core i9,-13900H,16GB,512GB SSD,
128,"3,599",MSI,15.6-Inch,Core i9,-13900H,16GB,1TB SSD,Windows 11
129,"1,638",Lenovo,,Core i5,-1235U,8GB,256GB SSD,
130,"4,999",HUAWEI,14-Inch,Core i7,-1360P,16GB,1TB SSD,Windows 11
131,"6,849",Microsoft,13 Inch,Intel Core i7,-1255U,16GB,,Windows 11
132,"3,880",ASUS,14-Inch,Core i9,-13900H,16GB,1TB SSD,Windows 11
133,"5,520",Apple,15-Inch,,,256GB,256GB SSD,
134,"2,325",Lenovo,,Intel Core i7,-1255U,16GB,512GB SSD,
135,"2,200",HUAWEI,16-Inch,Intel Core i5,-12450H,8GB,512GB SSD,Windows 11
136,"1,829",HP,,,-5825U,8GB,256GB SSD,
137,"5,199",Apple,13-Inch,,,256GB,,
138,"3,399",MSI,,Core i7,-1280P,16GB,1TB SSD,Windows 11
139,"3,999",Lenovo,,Intel Core i7,-13650H,16GB,512GB SSD,
140,"3,699",MSI,15.6-Inch,Core i7,-12650H,16GB,512GB SSD,Windows 11
141,"6,799",Apple,,,,8GB,512GB SSD,
142,"1,129",Lenovo,,Intel Core i3,-1215U,4GB,256GB SSD,
143,"1,199",MSI,14-Inch,Core i3,-1215U,8GB,256GB SSD,
144,"7,884",HP,,Core i7,,32GB,2TB SSD,Windows 11
145,"2,401",ASUS,16-Inch,,,16GB,512GB SSD,
146,"5,899",Apple,,,,8GB,512GB SSD,
147,"1,169",ASUS,,Core i3,,8GB,,
148,"5,099",Apple,13-Inch,,,512GB,,
149,"2,490",Microsoft,12-Inch,Intel Core i5,,8GB,128GB SSD,Windows 11
150,"11,199",Apple,,,,18GB,1TB SSD,
151,844,ASUS,,,,4GB,512GB SSD,
152,"4,499",Apple,13-Inch,,,256GB,,
153,"10,699",Apple,,,,18GB,512GB SSD,
154,"2,899",DELL,15.6-Inch,Core i7,-1255U,8GB,512GB SSD,Windows 11
155,"2,499",Microsoft,12.4-Inch,Intel Core i5,-1135G,8GB,256GB SSD,Windows 11
156,"1,949",HP,,Intel Core i5,-1135G,8GB,256GB SSD,
157,"3,999",HUAWEI,12.6-Inch,Core i7,-1260P,16GB,512GB SSD,Windows 11
158,"4,650",DELL,15.6-Inch,Core i7,-12700H,16GB,,
159,"2,647",HP,,Intel Core i7,-1355U,16GB,512GB SSD,
160,"2,399",HUAWEI,,Core i5,-12450H,16GB,512GB SSD,Windows 11
161,"4,999",Microsoft,13 Inch,,-1235U,8GB,,Windows 11
162,"2,890",HP,,Core i5,-1335U,8GB,,Windows 11
163,"6,299",Acer,,Intel Core i9,-13900H,16GB,,Windows 11
164,"4,499",MSI,15.6-Inch,,-12650H,16GB,1TB SSD,Windows 11
165,"2,999",MSI,,Intel Core i7,-13620H,16GB,1TB SSD,Windows 11
166,"7,599",Apple,,,,8GB,1TB SSD,
167,"1,199",Lenovo,,Core i3,-1215U,4GB,256GB SSD,
168,"1,699",Lenovo,15.6-Inch,,,8GB,512GB SSD,
169,"1,745",ASUS,15.6-Inch,Core i5,-1235U,8GB,512GB SSD,
170,"4,954",DELL,15.6 Inch,Intel Core i7,-12700H,16GB,,
171,"1,699",ASUS,16-Inch,Core i5,-1235U,8GB,512GB SSD,
172,"3,899",Lenovo,14-Inch,Core i7,,16GB,512GB SSD,Windows 11
173,"2,299",DELL,15.6-Inch,Core i5,,8GB,,
174,"4,599",Acer,15.6 Inch,Intel Core i7,-13620H,16GB,1TB SSD,
175,849,ASUS,,,,4GB,256GB SSD,
176,"3,299",Lenovo,,Intel Core i5,-1335U,8GB,512GB SSD,Windows 11
177,799,Lenovo,,,,4GB,256GB SSD,
178,"1,699",Lenovo,15.6-Inch,,,8GB,512GB SSD,
179,"2,199",Lenovo,,Intel Core i7,-1255U,8GB,512GB SSD,
180,"3,799",DELL,,Intel Core i7,-1165G,8GB,512GB SSD,
181,"1,899",ASUS,16-Inch,,-5625U,8GB,512GB SSD,
182,"14,999",Apple,,,,36GB,1TB SSD,
183,"7,899",Apple,,,,16GB,512GB SSD,
184,"1,699",Acer,,,-5700U,8GB,512GB SSD,
185,"4,899",Apple,,,,8GB,256GB SSD,
186,"4,999",Apple,15-Inch,,,256GB,256GB SSD,
187,"1,708",Lenovo,16-Inch,Intel Core i5,-12450H,8GB,,
188,"8,999",Apple,,,,18GB,512GB SSD,
189,"4,699",Apple,13-Inch,,,512GB,,
190,"2,538",ASUS,15.6-Inch,Core i7,-1355U,16GB,512GB SSD,
191,"2,137",HP,15.6-Inch,,-5825U,16GB,512GB SSD,
192,"2,108",Acer,15.6-Inch,Intel Core i7,-1255U,8GB,512GB SSD,
193,"3,049",HP,15.6-Inch,Core i7,,16GB,512GB SSD,
194,"14,995",Apple,,,,36GB,1TB SSD,
195,"1,549",Acer,14-Inch,,-3250U,4GB,,
196,"11,699",Apple,,,,18GB,512GB SSD,
197,"1,139",Acer,15.6-Inch,Core i3,-1115G,4GB,256GB SSD,
198,"1,999",Lenovo,,,-1305U,8GB,256GB SSD,Windows 11
199,"2,525",DELL,,Intel Core i7,-1255U,8GB,512GB SSD,
200,"6,099",Acer,16-Inch,Core i7,-13700H,16GB,512GB SSD,Windows 11
201,"1,249",Acer,15.6-Inch,Core i3,-1115G,4GB,256GB SSD,
202,"1,699",Lenovo,15.6-Inch,,-5700U,8GB,512GB SSD,
203,859,ASUS,,,,4GB,512GB SSD,
204,"5,299",Apple,13-Inch,,,512GB,,
206,"5,499",Apple,13-Inch,,,512GB,,
207,"3,925",Lenovo,,Intel Core i7,-13700H,16GB,512GB SSD,
208,"10,499",Apple,,,,18GB,1TB SSD,
209,"4,299",HP,,Core i5,-1335U,8GB,512GB SSD,Windows 11
210,"4,399",Lenovo,15.6-Inch,Core i7,-13650H,16GB,512GB SSD,Windows 11
211,"7,899",Acer,,Intel Core i9,-13900H,32GB,,Windows 11
212,"5,899",Apple,,,,8GB,512GB SSD,
213,"1,999",DELL,15.6-Inch,Core i5,-1135G,8GB,256GB SSD,Windows 11
214,"3,599",Lenovo,14.5-Inch,,-6800H,16GB,512GB SSD,Windows 11
215,899,Lenovo,15.6-Inch,,,4GB,,
216,"4,799",HP,,Core i7,-1355U,16GB,1TB SSD,Windows 11
217,999,ASUS,,,,4GB,512GB SSD,
218,"4,799",Microsoft,13-Inch,Core i5,-1245U,16GB,256GB SSD,Windows 11
219,"6,149",Lenovo,,Intel Core i7,-14650H,16GB,512GB SSD,Windows 11
220,"1,669",Lenovo,,Core i5,-1235U,8GB,512GB SSD,
221,"9,499",Apple,,,,18GB,512GB SSD,
222,"3,099",Lenovo,,Intel Core i7,-13620H,16GB,512GB SSD,Windows 11
223,"2,939",Lenovo,14-Inch,Core i5,,8GB,256GB SSD,
224,"2,999",HP,14-Inch,,-5825U,16GB,512GB SSD,Windows 11
225,"2,189",Lenovo,15.6-Inch,Core i7,-1255U,8GB,512GB SSD,
226,"1,484",Acer,,Core i5,-1135G,8GB,512GB SSD,
227,"3,999",DELL,,Core i7,-13650H,16GB,512GB SSD,
228,"6,799",Apple,,,,16GB,512GB SSD,
229,"2,899",HP,,Core i3,-1315U,8GB,256GB SSD,Windows 11
230,"3,438",Lenovo,,Core i5,-1235U,8GB,512GB SSD,Windows 11
231,"2,899",DELL,15.6-Inch,Core i7,-1255U,8GB,512GB SSD,
232,"1,197",Lenovo,,Intel Core i3,-1215U,4GB,512GB SSD,
233,"2,499",ASUS,14-Inch,Core i5,-12500H,8GB,512GB SSD,Windows 11
234,"6,799",Apple,,,,16GB,512GB SSD,
235,"1,999",Acer,,Core i7,,8GB,512GB SSD,Windows 11
236,"2,549",ASUS,15.6-Inch,Core i7,-1355U,16GB,512GB SSD,
237,"1,499",Acer,15.6-Inch,Core i5,-1135G,8GB,256GB SSD,
